Date,Description,Name,Memo,Account,Amount,New Account
2025-01-04,Hardware and tools,Metro Hardware,Maintenance parts,Operating Expenses,1860.34,6200
2025-01-29,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,370.36,6300
2025-03-28,Hardware and tools,Metro Hardware,Maintenance parts,Operating Expenses,1858.15,
2025-03-17,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,1069.26,
2025-01-12,Monthly cloud hosting,Cloud Hosting Co,Production servers,Operating Expenses,566.13,6100
2025-03-13,Monthly cloud hosting,Cloud Hosting Co,Production servers,Operating Expenses,517.12,
2025-01-29,Landscaping service,Greenscape Services,Grounds maintenance,Operating Expenses,1136.79,6730
2025-04-14,Internet service,FastNet Internet,Office connectivity,Operating Expenses,2176.52,6310
2025-03-31,Office supplies,Prime Office Supply,Paper and toner,Operating Expenses,1070.97,6210
2025-01-20,Internet service,FastNet Internet,Office connectivity,Operating Expenses,557.9,
2025-01-14,Payroll processing fee,Payroll Partners,Bi-weekly payroll,Operating Expenses,254.55,6500
2025-02-15,Hardware and tools,Metro Hardware,Maintenance parts,Operating Expenses,2122.55,
2025-04-14,Internet service,FastNet Internet,Office connectivity,Operating Expenses,132.54,
2025-03-10,Monthly bank fee,Bank Service Charge,Account maintenance,Operating Expenses,333.94,
2025-01-11,Freight and shipping,Swift Logistics,Inbound delivery,Operating Expenses,1391.3,6700
2025-03-15,Online advertising,AdBoost Marketing,Lead generation,Operating Expenses,500.91,6600
2025-01-06,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,1661.63,
2025-01-11,Insurance premium,SecureShield Insurance,Liability coverage,Operating Expenses,2141.91,6400
2025-02-18,Hardware and tools,Metro Hardware,Maintenance parts,Operating Expenses,712.98,
2025-01-21,Online advertising,AdBoost Marketing,Lead generation,Operating Expenses,941.2,
2025-03-27,Utility bill,City Utilities,Electric and water,Operating Expenses,685.77,
2025-03-19,General supplies purchase,Acme Supplies,Inventory restock,Operating Expenses,1596.57,
2025-01-21,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,1169.09,
2025-04-29,Internet service,FastNet Internet,Office connectivity,Operating Expenses,1609.0,
2025-03-29,Electricity service,PowerGrid Energy,Facility power,Operating Expenses,827.6,
2025-01-30,Software subscription,SaaS Tools Inc,Team licenses,Operating Expenses,2058.96,
